GEOID,metrics_as_outlier,total_outlier_occurrences,outlier_metrics
12051,4,366,"['low_temp_days_10th', 'cold_days_0c', 'extremely_cold_days_5th', 'ultra_cold_days_1st']"
12071,4,366,"['low_temp_days_10th', 'cold_days_0c', 'extremely_cold_days_5th', 'ultra_cold_days_1st']"
12099,3,243,"['low_temp_days_10th', 'cold_days_0c', 'ultra_cold_days_1st']"
12043,3,242,"['low_temp_days_10th', 'cold_days_0c', 'ultra_cold_days_1st']"
35043,3,222,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
35028,3,195,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
12086,3,249,"['low_temp_days_10th', 'cold_days_0c', 'ultra_cold_days_1st']"
35057,3,217,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
35001,3,247,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
35061,3,222,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
35053,3,152,"['annual_max_temp_c', 'low_temp_days_10th', 'cold_days_0c']"
12087,3,253,"['low_temp_days_10th', 'cold_days_0c', 'ultra_cold_days_1st']"
38005,2,238,"['high_temp_days_95th', 'hot_days_30c']"
55095,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55099,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
30067,2,241,"['high_temp_days_95th', 'hot_days_30c']"
12055,2,242,"['extremely_cold_days_5th', 'ultra_cold_days_1st']"
35049,2,6,"['annual_max_temp_c', 'cold_days_0c']"
38019,2,242,"['high_temp_days_95th', 'hot_days_30c']"
55039,2,10,"['high_precip_days_95th', 'high_precip_days_95th.1']"
39071,2,10,"['high_precip_days_95th', 'high_precip_days_95th.1']"
55111,2,12,"['high_precip_days_95th', 'high_precip_days_95th.1']"
55021,2,12,"['high_precip_days_95th', 'high_precip_days_95th.1']"
55001,2,12,"['high_precip_days_95th', 'high_precip_days_95th.1']"
55077,2,16,"['high_precip_days_95th', 'high_precip_days_95th.1']"
22093,2,20,"['high_precip_days_95th', 'high_precip_days_95th.1']"
55125,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55119,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55113,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55109,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55107,2,242,"['very_cold_days_10th', 'extremely_cold_days_5th']"
55133,2,24,"['high_precip_days_95th', 'high_precip_days_95th.1']"
12021,2,126,"['low_temp_days_10th', 'cold_days_0c']"
12015,2,122,"['low_temp_days_10th', 'cold_days_0c']"
26121,2,54,"['high_precip_days_95th', 'high_precip_days_95th.1']"
12011,2,124,"['low_temp_days_10th', 'cold_days_0c']"
